session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,uid
139,677,222,939,3,2095,276,222,192,2,117,100
140,108,90,217,52,108,22,5,18,90,17,100
141,5,20,6,2,3328,3,213,2,60,60,100
142,265,39,39,67,67,80,85,52,60,60,100
143,265,39,207,72,15,15,15,15,37,23,100
144,23,30,3,10,33,39,9,6,80,9,100
145,4,67,588,3,2,15,72,15,67,207,100
146,15,15,37,23,15,23,23,15,69,160,100
147,69,2,85,39,30,6,9,3,10,33,100
148,52,80,9,37,23,23,9,9,6,137,100
149,15,112,9,6,4,37,23,23,37,23,100
150,23,23,37,23,69,69,160,207,72,15,100
151,15,15,15,39,6,9,33,3,30,10,100
152,4,69,69,160,39,60,60,265,39,39,100
153,69,160,69,254,60,60,60,265,67,207,100
154,588,3,2,15,72,15,67,15,15,15,100
155,15,2086,38,15,38,13,19,13,19,38,100
156,38,1,13,628,13,3,7,152,19,38,100
157,1,707,625,707,199,707,625,937,707,625,100
158,199,937,23,37,137,112,1551,2,21,27,100
159,897,3,30,10,39,33,51,78,6,2096,100
160,9,24,80,85,52,9,39,4,350,350,100
161,504,15,72,15,15,2,3,15,3,30,100
162,33,2,589,589,6,24,37,23,9,2,100
163,9,9,23,37,23,9,4,37,23,9,100
164,23,37,9,9,9,37,23,4,9,60,100
165,60,60,60,265,39,39,39,39,67,207,100
166,81,2592,37,23,67,39,72,15,15,15,100
167,15,15,15,137,112,897,27,21,30,3,100
168,10,9,33,6,80,85,52,52,9,9,100
169,3,677,2,940,939,677,276,473,3,853,100
170,1155,1009,1556,248,677,222,276,3,1073,735,100
171,1073,23,37,5,23,251,735,854,735,2097,100
172,2593,2594,2593,2097,3329,735,3,2594,15,246,100
173,603,735,73,258,173,2097,2,3,10,6,100
174,2,604,604,604,604,604,604,604,604,604,100
175,604,604,604,604,604,604,604,604,604,604,100
176,604,604,22,2,770,770,770,770,67,22,100
177,40,770,107,770,52,20,40,770,770,770,100
178,46,148,22,3,9,46,2,463,427,40,100
179,46,770,770,770,770,770,770,3,2595,2,100
180,2595,2,2596,2596,2581,40,3,213,9,2,100
181,4,39,39,39,254,207,72,15,15,15,100
182,37,23,3,30,33,10,504,350,24,6,100
183,9,6,9,9,23,37,9,9,9,37,100
184,23,23,23,4,9,9,9,23,37,23,100
185,9,9,9,23,37,23,4,9,9,9,100
186,23,37,23,9,9,9,37,23,23,4,100
187,9,9,9,23,37,23,9,9,9,37,100
188,23,4,9,39,39,284,284,39,67,207,100
189,15,72,15,15,15,3,2,588,67,53,100
190,80,67,52,15,296,277,4,15,52,53,100
191,53,53,53,53,53,53,305,53,53,53,100
192,53,53,53,2,23,37,53,53,10,30,100
193,3,33,6,80,9,53,53,53,53,5,100
194,53,53,53,53,2,3,85,4,2,9,100
195,112,15,137,72,15,52,37,23,23,238,100
196,238,66,49,66,49,15,3,2,2,1784,100
197,1784,31,44,17,1784,18,1785,15,1784,5,100
198,1785,5,2597,1247,1785,217,2597,192,52,296,100
199,1785,5,2,1378,1156,3330,708,855,375,855,100
200,3,708,1157,375,708,1157,855,708,3,1786,100
201,2,203,1786,1786,5,222,106,514,203,3331,100
202,203,237,258,80,112,80,1786,565,15,15,100
203,15,15,15,10,30,3,33,3,2,6,100
204,2,3,58,58,136,3,31,58,58,9,100
205,2,37,23,9,2,44,3,130,1074,1560,100
206,17,107,18,1560,3,53,22,5,1074,22,100
207,1074,20,9,2,6,10,53,2,3,2,100
208,771,52,771,771,942,110,9,143,2,2,100
209,166,288,1561,1379,499,2598,166,166,1379,1561,100
210,499,127,17,18,44,127,590,44,18,127,100
211,6,166,17,52,22,166,5,127,5,5,100
212,1379,2,188,2599,499,188,2098,2098,2098,188,100
213,188,20,188,188,188,188,188,188,188,188,100
214,188,22,188,188,188,188,188,188,188,188,100
215,188,188,188,188,188,3,30,6,33,9,100
216,15,72,39,23,37,69,69,69,160,6,100
217,9,9,217,52,15,52,31,149,4,137,100
218,112,4,6,3,30,9,15,72,15,15,100
219,33,9,3,30,4,284,241,241,241,241,100
220,72,15,15,1787,3,2,1787,1154,1787,3,100
221,1787,3,37,23,23,2,2600,103,3,2600,100
222,103,3,9,2,3,2,15,15,15,2,100
223,30,3,33,9,241,241,241,241,241,241,100
224,241,241,3,2,9,2,4,284,284,60,100
225,60,60,60,265,39,39,39,69,160,69,100
226,69,39,39,39,39,69,160,39,39,39,100
227,67,15,72,15,69,160,69,67,2,3,100
228,2,17,3,44,15,18,500,3,15,2,100
229,500,5,500,500,500,2,2,3332,103,58,100
230,103,3,136,5,246,213,3,9,2,10,100
231,6,105,37,23,23,15,15,15,80,85,100
232,30,9,10,3,33,6,241,2,241,1562,100
233,2099,241,1562,856,241,284,856,1563,241,2,100
234,3333,130,15,5,53,3334,130,22,3,17,100
235,18,3,44,288,107,127,127,175,2,127,100
236,31,283,52,297,175,52,52,367,20,119,100
237,119,2,10,105,6,284,284,284,284,284,100
238,9,254,9,37,23,9,9,9,37,23,100
239,23,23,4,9,9,9,37,23,23,241,100
240,241,241,241,241,241,241,9,284,9,9,100
241,37,23,4,9,284,9,4,39,39,284,100
242,241,241,241,69,160,69,241,241,241,241,100
243,241,241,15,72,15,15,60,60,60,265,100
244,39,284,241,241,69,160,67,15,72,15,100
245,15,15,15,67,30,6,9,33,10,4,100
246,3,39,15,72,15,15,284,23,37,23,100
247,6,3,30,9,33,80,85,52,9,2,100
248,588,3,137,15,112,217,52,52,9,3,100
249,2,149,31,2,3,2,2,103,2601,3,100
250,136,2601,103,5,9,2,2,2,3335,2,100
251,1564,103,103,1564,217,1380,80,1380,80,15,100
252,2602,856,856,37,23,1380,23,856,2,2603,100
253,276,248,276,5,222,735,1158,2603,276,276,100
254,22,44,130,18,17,473,53,15,5,107,100
255,1159,136,1788,940,473,2604,1381,735,854,603,100
256,473,1789,2605,473,473,1382,1155,473,1009,276,100
257,20,9,2,10,6,81,2592,2,500,500,100
258,500,500,500,2,500,679,2100,53,679,500,100
259,53,500,22,44,130,6,500,18,2,5,100
260,130,80,22,500,2,17,500,119,500,1160,100
261,500,500,130,5,500,18,5,53,22,17,100
262,500,67,500,500,500,500,500,500,500,500,100
263,119,17,5,130,18,53,22,20,52,46,100
264,53,22,148,3,9,2,69,160,69,46,100
265,10,6,46,46,46,46,46,46,46,46,100
266,3,46,2,46,9,46,46,46,46,37,100
267,23,23,46,4,72,15,46,46,6,9,100
268,46,4,46,3,9,2,46,46,46,46,100
269,46,46,46,9,46,46,46,46,46,46,100
270,15,15,46,18,5,17,22,46,20,2,100
271,30,3,33,37,46,23,9,6,46,46,100
272,46,3,88,2,46,46,238,66,49,46,100
273,46,6,46,46,46,9,46,46,46,3,100
274,30,46,33,6,24,9,4,46,46,238,100
275,49,66,46,2,31,46,58,31,58,58,100
276,9,46,238,66,238,49,66,49,238,37,100
277,23,23,2,46,49,66,238,49,66,46,100
278,2,943,238,238,66,49,238,238,66,66,100
279,49,49,2,2,3336,46,238,66,66,49,100
280,49,9,2,2,36,3,92,36,157,3,100
281,36,3,15,36,72,343,46,204,2,772,100
282,772,106,772,2606,6,237,46,46,105,3,100
283,9,2,6,10,46,46,46,46,52,1790,100
284,1790,1790,1790,46,238,49,66,2607,2607,46,100
285,3,9,2,46,46,46,46,46,46,46,100
286,46,46,23,37,23,46,46,46,46,46,100
287,238,66,49,66,49,46,46,46,46,46,100
288,15,46,46,30,3,6,33,46,9,4,100
289,46,46,46,46,46,46,46,46,46,37,100
290,23,23,46,46,46,46,46,46,46,46,100
291,46,46,46,46,60,60,60,265,39,39,100
292,80,67,207,15,72,15,15,15,15,67,100
293,51,21,33,30,27,3,9,10,897,4,100
294,6,254,284,284,80,112,72,15,137,217,100
295,52,52,23,37,23,31,149,85,69,69,100
296,160,52,66,238,49,49,66,238,49,66,100
297,238,66,49,66,49,60,60,60,60,265,100
298,284,80,67,137,15,72,112,15,23,37,100
299,23,39,217,52,52,67,39,254,31,149,100
300,238,66,66,49,238,238,66,49,238,66,100
301,49,80,15,72,23,37,23,15,15,15,100
302,21,27,897,30,6,10,3,9,33,51,100
303,85,52,9,6,24,23,37,23,9,69,100
304,160,69,9,37,23,4,9,23,37,23,100
305,9,284,9,37,23,23,4,9,23,37,100
306,23,9,9,37,23,4,9,23,37,9,100
307,4,60,60,60,60,265,39,67,80,588,100
308,3,2,15,72,15,2,2,1791,15,3,100
309,3,1010,1010,1010,67,15,15,27,10,21,100
310,4,897,37,23,23,2,6,709,3,2608,100
311,207,15,85,15,15,52,21,27,897,33,100
312,30,10,3,51,6,24,53,53,53,3,100
313,213,9,88,2,3,2,9,9,37,23,100
314,23,9,112,137,9,3,1010,1010,1010,3,100
315,3,1010,3,1010,1010,160,69,69,9,3,100
316,3,2,1383,130,1792,1793,3337,53,22,130,100
317,1792,1383,5,107,15,72,768,3338,37,23,100
318,103,2,1564,3,3,136,1564,103,1564,103,100
319,5,20,2,2101,2101,2101,10,31,4,6,100
320,3,2,9,44,3,2,123,22,197,452,100
321,200,18,123,5,17,3339,2,771,37,52,100
322,771,942,110,20,110,3,2,9,6,10,100
323,771,2,218,161,144,161,218,144,218,218,100
324,144,218,218,218,218,144,218,218,144,218,100
325,144,218,218,144,218,144,218,144,218,218,100
326,144,218,218,218,144,81,268,268,144,218,100
327,144,144,218,144,144,144,218,1010,9,3,100
328,15,6,4,37,23,23,2,2,2,58,100
329,31,3,58,128,2,3340,676,601,3341,767,100
330,496,15,577,2,1384,3,3,1384,1384,15,100
331,496,6,10,208,2,49,49,49,2,1161,100
332,1161,293,537,475,293,1161,1161,1161,1161,1161,100
333,1161,30,33,6,3,9,2,2,2102,2609,100
334,2102,2102,2609,37,23,23,15,72,3,2,100
335,2,1565,3342,1565,1565,44,17,1565,18,3343,100
336,1565,5,9,54,62,2,62,54,142,86,100
337,54,62,86,54,62,10,6,2,736,736,100
338,736,736,736,736,736,736,736,736,736,736,100
339,736,736,736,736,3,9,2,2,2,2,100
340,2,1162,1162,1162,1162,1162,217,1566,1566,1566,100
341,2610,1248,2,1567,288,2611,6,22,44,2,100
342,127,18,67,17,127,127,5,1248,22,9,100
343,2,1566,1566,20,22,6,10,22,2103,275,100
344,3,5,2103,2103,20,588,3,2,2,2104,100
345,2104,2104,2,1568,1568,1568,1568,1568,9,2,100
346,2,1162,1162,1162,37,23,2,2,2612,2612,100
347,1385,3344,22,1385,5,1385,1385,3345,2105,393,100
348,575,274,5,1386,1569,3346,1387,226,6,274,100
349,3347,15,31,487,575,376,1075,851,1388,3,100
350,22,393,275,575,226,393,311,274,1569,1388,100
351,562,1570,199,2613,3348,3349,22,226,130,274,100
352,311,217,125,1075,274,53,1388,274,562,20,100
353,675,2,274,274,6,3,10,90,384,108,100
354,22,5,73,2,117,73,108,464,90,52,100
355,217,17,90,108,22,101,117,44,5,18,100
356,296,117,403,20,3,2,213,6,9,31,100
357,2,3350,2,54,142,86,62,54,2,944,100
358,1389,17,18,351,1389,944,944,944,5,351,100
359,88,2,6,10,9,351,18,17,944,106,100
360,5,351,106,2106,629,258,112,1390,6,4,100
361,23,37,23,2,1011,3351,327,945,1011,73,100
362,73,377,945,327,73,5,2614,327,1011,73,100
363,377,566,87,17,945,214,18,2107,6,44,100
364,5,22,377,52,2108,2109,377,5,327,327,100
365,327,87,2,1388,1075,5,275,376,1007,22,100
366,199,226,1569,851,311,562,1569,376,487,2613,100
367,226,1388,226,130,311,1075,53,125,1388,1075,100
368,562,1075,20,487,393,5,199,1075,376,130,100
369,376,562,1569,1075,53,125,1075,562,566,2,100
370,488,488,737,773,3,488,538,2110,17,488,100
371,18,130,3,53,15,488,31,680,2111,73,100
372,464,488,5,277,488,53,488,106,1794,80,100
373,245,773,3,17,3,18,130,53,73,73,100
374,87,214,53,488,277,5,488,20,675,87,100
375,3,88,2,69,69,160,10,105,6,9,100
376,2,9,39,254,9,4,60,60,60,60,100
377,39,39,254,67,80,15,67,72,3,588,100
378,2,15,574,2,327,1011,945,377,945,415,100
379,3352,1011,327,73,452,327,377,5,2614,73,100
380,566,22,17,18,2109,44,73,945,1011,6,100
381,377,2107,52,2108,15,5,377,327,246,67,100
382,327,2,3,2,38,38,13,13,19,38,100
383,1,13,628,566,38,3,19,38,13,38,100
384,19,38,1,13,11,19,1,13,11,13,100
385,1,19,1,1,1,1,19,1,534,3,100
386,19,1,1,10,23,37,23,1,1,327,100
387,327,327,1,9,2,1,1570,130,44,3353,100
388,1570,13,18,38,17,130,19,53,3,13,100
389,1570,13,22,5,15,1570,107,67,52,78,100
390,1,13,2,3,19,20,1795,2,1,1795,100
391,1,1,1,1,3354,1,1,2,1,1,100
392,6,10,1,85,1,1,1,1,1,1,100
393,3,9,213,1,2,52,1,1,1,1,100
394,1,1,1,1,1,1,1,1,1,1,100
395,1,1,1,1,1,1,1,1,1,1,100
396,1,1,1,1,1,1,1,3,3,1,100
397,1,2,1796,1796,1796,1,1795,2,1795,1796,100
398,2,1391,1391,1391,2,1,1,1,1,1,100
399,1,1,3,1,1,1,2,1,1,1,100
400,1,1,1,1,19,1,13,38,19,1,100
401,13,1,19,8,1,13,1,8,1,5,100
402,1,1,1,207,1,5,15,1,15,15,100
403,1,1,1,1,1,535,78,1,13,1,100
404,1,1,19,1,10,30,33,1,1,4,100
405,1,19,19,19,1,19,3,1,213,1,100
406,1,1,2,1,1,1,6,9,1,1,100
407,1,1,1,1,1,1,1,37,23,23,100
408,2,170,334,15,44,146,101,249,31,1571,100
409,249,5,18,146,101,334,249,101,146,5,100
410,6,22,17,53,22,101,1,1,20,1,100
411,1,1,1,1,22,1,1,19,1,19,100
412,1,19,1,31,13,6,10,19,19,1,100
413,1,19,1,1,3,9,1,2,1,1,100
414,13,1,11,78,13,19,1,13,13,11,100
415,1,11,1,14,19,1,13,3,3,13,100
416,19,13,8,1,152,19,13,14,14,19,100
417,1,152,13,7,152,1,19,13,19,733,100
418,13,38,19,19,13,8,19,1,152,13,100
419,152,11,38,19,13,1,13,19,52,193,100
420,3355,10,38,11,13,152,38,19,19,193,100
421,38,1,13,19,13,138,138,1,19,11,100
422,13,15,11,13,78,19,1,138,1,88,100
423,11,1,13,11,1,1,11,11,1,1,100
424,1,1,11,11,19,1,19,11,1,11,100
425,11,11,1,1,11,11,13,19,11,1,100
426,1,11,11,11,1,11,11,1,2,11,100
427,1,9,6,11,78,11,13,11,1,19,100
428,19,1,1,11,11,1,1,11,11,1,100
429,11,1,11,11,1,11,11,1,11,1,100
430,11,11,1,11,1,11,11,11,1,1,100
431,11,11,3,11,1,2,226,1249,1249,1249,100
432,2615,1249,2615,1249,11,1,11,11,1,11,100
433,11,137,112,1,11,1,11,11,1,11,100
434,1,11,11,1,11,11,1,11,1,15,100
435,11,11,1,11,1,11,11,11,1,1,100
436,11,11,11,1,30,3,33,2,11,1,100
437,11,11,1,11,11,1,11,1,11,6,100
438,11,1,11,1,11,11,1,11,11,1,100
439,1,11,11,266,453,67,11,217,416,1,100
440,1,11,11,11,1,11,1,11,11,1,100
441,11,11,1,11,1,11,453,11,6,11,100
442,1,51,1,11,24,11,1,11,1,11,100
443,11,1,11,1,11,11,1,11,11,1,100
444,11,1,11,11,11,1,11,1,11,11,100
445,69,69,1,160,11,1,11,1,11,19,100
446,19,11,1,11,1,11,11,11,1,1,100
447,11,11,11,1,11,9,1,11,11,1,100
448,37,23,23,11,11,11,1,1,11,11,100
449,11,1,1,11,11,11,1,11,1,11,100
450,11,1,11,11,11,1,1,11,72,15,100
451,384,90,117,2,108,5,108,90,22,67,100
452,90,403,296,11,17,108,44,18,857,52,100
453,217,73,11,90,22,1,5,101,5,117,100
454,1,11,11,11,20,1,11,1,11,1,100
455,11,11,11,1,2,2616,1,11,11,1,100
456,11,1,11,11,1,3,11,1,31,11,100
457,11,1,11,2,2616,11,1,25,25,25,100
458,1,25,11,11,11,25,25,25,1,25,100
459,1,11,11,88,11,1,11,11,1,11,100
460,11,1,11,25,25,25,25,25,25,1,100
461,25,11,1,25,11,25,25,11,25,25,100
462,25,25,11,11,1,25,25,25,1,25,100
463,11,2,11,6,9,11,1,11,1,11,100
464,11,1,11,11,1,11,1,11,11,11,100
465,1,1,11,11,11,1,11,11,1,11,100
466,1,11,11,11,1,1,3,38,19,2,100
467,1249,226,1,1249,1,13,38,19,1,14,100
468,78,1,14,13,2,14,3356,1,1,14,100
469,1,13,38,1,1,1,1,13,14,19,100
470,152,1,13,138,138,13,78,1,14,14,100
471,1,19,138,13,14,19,138,1,14,14,100
472,13,14,13,1,14,19,1,19,14,14,100
473,1,14,1,1,1,14,1,14,51,1,100
474,14,1,24,14,3,1,14,19,14,13,100
475,2,78,14,1,1,14,14,1,14,1,100
476,14,14,1,2,117,564,5,108,90,18,100
477,13,38,17,90,108,22,5,117,73,117,100
478,5,90,14,13,1,14,14,1,20,14,100
479,14,1,14,1,14,6,14,14,1,1,100
480,14,14,1,14,19,14,1,14,1,14,100
481,3,2,1,14,1,14,14,1,14,1,100
482,14,1,14,14,14,1,1,14,14,14,100
483,2,3,58,31,58,31,3,1,136,58,100
484,344,1,515,14,14,14,1,14,1,14,100
485,14,2,3,36,36,157,1797,3,92,36,100
486,246,464,36,738,648,454,5,211,476,1,100
487,14,14,1,14,1,14,14,1,1,14,100
488,14,13,11,1,152,19,1,19,7,78,100
489,138,13,19,13,7,1,7,7,7,7,100
490,13,11,11,1,1,1,1,11,11,1,100
491,3,1,11,11,1,19,19,11,19,1,100
492,11,11,1,2,11,11,1,11,105,11,100
493,1,11,1,11,11,11,1,1,11,11,100
494,9,11,1,78,11,1,13,11,11,1,100
495,11,11,1,11,1,6,11,11,11,37,100
496,23,1,23,1,11,11,11,1,11,1,100
497,11,11,1,11,11,1,11,1,11,11,100
498,11,1,1,11,11,11,1,11,11,1,100
499,11,1,11,11,1,1,11,11,3,11,100
500,1,11,1,3,1,19,13,13,19,628,100
501,296,5,19,19,19,19,19,13,5,19,100
502,13,13,13,8,19,13,38,1,19,13,100
503,138,1,19,78,11,13,19,1,13,11,100
504,11,11,11,1,13,8,1,1,8,1,100
505,19,8,1,1,1,1,8,19,1,8,100
506,8,1,8,1,8,8,1,3,2,9,100
507,8,15,8,1,8,8,8,2,1,58,100
508,58,3,136,344,515,8,1,8,1,8,100
509,733,78,8,8,6,13,1,1,8,2,100
510,58,3,58,136,8,8,1,1,8,8,100
511,1,8,8,1,8,1,8,8,8,1,100
512,1,9,8,8,8,1,1,8,8,8,100
513,1,2,8,1,8,8,1,8,8,1,100
514,8,1,8,8,8,1,8,8,8,1,100
515,8,1,8,8,1,8,1,8,1,8,100
516,8,8,1,8,8,8,1,1,8,8,100
517,8,1,8,1,8,8,1,8,1,8,100
518,1,8,19,8,1,8,4,1,8,8,100
519,1,8,9,8,1,8,1,8,8,1,100
520,1,8,8,8,1,8,8,1,8,1,100
521,8,8,1,8,1,8,8,8,1,1,100
522,8,8,1,8,8,1,8,8,1,8,100
523,1,8,8,1,8,8,8,1,1,8,100
524,8,8,1,1,8,8,8,1,8,1,100
525,8,1,8,8,8,1,1,8,8,1,100
526,1,8,8,1,8,8,1,8,1,8,100
527,8,1,1,8,8,19,8,1,8,8,100
528,1,8,1,8,8,8,1,1,8,23,100
529,37,8,8,1,1,8,8,1,8,8,100
530,1,8,1,8,8,1,8,1,8,8,100
531,8,1,1,8,8,8,1,8,1,8,100
532,8,1,8,8,1,8,1,8,8,8,100
533,1,1,8,8,8,1,1,8,8,8,100
534,1,8,8,1,1,8,8,8,1,1,100
535,8,8,8,1,8,1,8,1,8,8,100
536,1,8,1,8,8,8,1,1,8,8,100
537,8,1,8,8,1,8,8,1,8,8,100
538,1,8,1,8,8,8,8,1,8,8,100
539,8,1,19,8,1,19,19,1,1,1,100
540,1,1,1,1,1,1,1,1,1,1,100
541,1,1,1,1,1,1,1,1,1,8,100
542,8,1,1,8,1,8,1,8,1,8,100
543,8,8,1,1,8,8,8,1,1,8,100
544,8,8,1,8,1,8,8,1,8,8,100
545,1,1,8,8,8,1,1,8,8,1,100
546,8,8,1,8,1,8,8,1,8,1,100
547,8,8,8,1,1,8,8,1,8,19,100
548,8,1,8,1,8,8,1,8,1,8,100
549,8,8,1,1,8,8,8,1,1,8,100
550,8,1,8,1,8,1,6,8,8,1,100
551,8,1,8,8,1,8,1,8,8,1,100
552,8,23,37,8,1,8,1,8,8,8,100
553,1,1,8,8,8,1,8,1,8,8,100
554,1,8,8,1,8,1,8,8,8,1,100
555,1,8,8,8,1,8,1,8,8,1,100
556,8,1,8,1,8,8,8,1,1,8,100
557,8,8,1,1,8,8,8,1,8,1,100
558,8,8,1,8,1,8,1,8,8,1,100
559,8,8,1,8,1,8,8,8,1,1,100
560,8,8,8,1,1,8,8,8,1,8,100
